Protein Name,DFR_Weights,DFR_Ranked_Weights,pDP_values,Sequence_Length
HXA1,39,8,0.9731,335.0
HXA1,39,8,0.9729,376.0
HXA1,39,8,0.9724,443.0
HXA1,39,8,0.9692,320.0
HXA1,39,8,0.9588,270.0
HXA1,39,8,0.935,233.0
HXA1,39,8,0.8778,230.0
HXA1,39,8,0.7687,272.0
HXA1,39,8,0.641,410.0
HXA1,39,8,0.6217,313.0
HXA1,39,8,0.6318,388.0
HXA1,39,8,0.6001,301.0
HXA1,39,8,0.6882,356.0
HXA1,39,8,0.8266,431.0
HXA1,39,8,0.8777,251.0
HXA1,39,8,0.923,269.0
HXA1,39,8,0.9559,224.0
HXA1,39,8,0.9684,217.0
HXA1,39,8,0.9743,243.0
HXA1,39,8,0.976,250.0
HXA1,39,8,0.9766,284.0
HXA1,39,8,0.9671,264.0
HXA1,39,8,0.9529,222.0
HXA1,39,8,0.9507,235.0
HXA1,39,8,0.9484,242.0
HXA1,39,8,0.9455,260.0
HXA1,39,8,0.9402,342.0
HXA1,39,8,0.9261,304.0
HXA1,39,8,0.8954,282.0
HXA1,39,8,0.8738,330.0
HXA1,39,8,0.8669,328.0
HXA1,39,8,0.8569,432.0
HXA1,39,8,0.8241,255.0
HXA1,39,8,0.7846,290.0
HXA1,39,8,0.734,352.0
HXA1,39,8,0.7261,340.0
HXA1,39,8,0.7064,338.0
HXA1,39,8,0.6745,270.0
HXA1,39,8,0.6787,343.0
HXA1,39,8,0.6756,
HXA1,39,8,0.6522,
HXA1,39,8,0.6367,
HXA1,39,8,0.619,
HXA1,39,8,0.6384,
HXA1,39,8,0.6575,
HXA1,39,8,0.7016,
HXA1,39,8,0.7536,
HXA1,39,8,0.824,
HXA1,39,8,0.8549,
HXA1,39,8,0.9159,
HXA1,39,8,0.9341,
HXA1,39,8,0.9455,
HXA1,39,8,0.9563,
HXA1,39,8,0.9609,
HXA1,39,8,0.9608,
HXA1,39,8,0.9554,
HXA1,39,8,0.9508,
HXA1,39,8,0.9356,
HXA1,39,8,0.9148,
HXA1,39,8,0.8977,
HXA1,39,8,0.8814,
HXA1,39,8,0.8574,
HXA1,39,8,0.8393,
HXA1,39,8,0.8195,
HXA1,39,8,0.7509,
HXA1,39,8,0.7351,
HXA1,39,8,0.7104,
HXA1,39,8,0.6819,
HXA1,39,8,0.6675,
HXA1,39,8,0.6854,
HXA1,39,8,0.7284,
HXA1,39,8,0.7949,
HXA1,39,8,0.8222,
HXA1,39,8,0.8481,
HXA1,39,8,0.8645,
HXA1,39,8,0.8654,
HXA1,39,8,0.8489,
HXA1,39,8,0.8002,
HXA1,39,8,0.7683,
HXA1,39,8,0.7432,
HXA1,39,8,0.7503,
HXA1,39,8,0.7617,
HXA1,39,8,0.8103,
HXA1,39,8,0.8485,
HXA1,39,8,0.8425,
HXA1,39,8,0.8685,
HXA1,39,8,0.9024,
HXA1,39,8,0.8973,
HXA1,39,8,0.9049,
HXA1,39,8,0.896,
HXA1,39,8,0.8986,
HXA1,39,8,0.8944,
HXA1,39,8,0.8962,
HXA1,39,8,0.8968,
HXA1,39,8,0.8882,
HXA1,39,8,0.887,
HXA1,39,8,0.861,
HXA1,39,8,0.8661,
HXA1,39,8,0.8916,
HXA1,39,8,0.9134,
HXA1,39,8,0.9358,
HXA1,39,8,0.946,
HXA1,39,8,0.9492,
HXA1,39,8,0.956,
HXA1,39,8,0.9551,
HXA1,39,8,0.9486,
HXA1,39,8,0.9491,
HXA1,39,8,0.9404,
HXA1,39,8,0.9288,
HXA1,39,8,0.9038,
HXA1,39,8,0.885,
HXA1,39,8,0.8722,
HXA1,39,8,0.8451,
HXA1,39,8,0.8067,
HXA1,39,8,0.7985,
HXA1,39,8,0.8094,
HXA1,39,8,0.8172,
HXA1,39,8,0.8282,
HXA1,39,8,0.8326,
HXA1,39,8,0.8137,
HXA1,39,8,0.7968,
HXA1,39,8,0.7656,
HXA1,39,8,0.7367,
HXA1,39,8,0.6945,
HXA1,39,8,0.6688,
HXA1,39,8,0.6046,
HXA1,39,8,0.6758,
HXA1,39,8,0.7347,
HXA1,39,8,0.7947,
HXA1,39,8,0.8422,
HXA1,39,8,0.8824,
HXA1,39,8,0.8922,
HXA1,39,8,0.9016,
HXA1,39,8,0.8982,
HXA1,39,8,0.8829,
HXA1,39,8,0.8636,
HXA1,39,8,0.8463,
HXA1,39,8,0.8529,
HXA1,39,8,0.8564,
HXA1,39,8,0.8572,
HXA1,39,8,0.8932,
HXA1,39,8,0.9105,
HXA1,39,8,0.9247,
HXA1,39,8,0.9293,
HXA1,39,8,0.9323,
HXA1,39,8,0.9017,
HXA1,39,8,0.8437,
HXA1,39,8,0.7594,
HXA1,39,8,0.6481,
HXA1,39,8,0.6925,
HXA1,39,8,0.7147,
HXA1,39,8,0.6822,
HXA1,39,8,0.6777,
HXA1,39,8,0.6245,
